#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
EVT_NAME_1100026;Liberation of Sevastopol;;;;;;;;;;;
EVT_DESC_1100026;After the successful amphibious landing on the Crimean peninsula at Kerch, Red Army started with the siege of Sevastopol before attacking the encircled German Wehrmacht by land, sea, and air. Although the Wehrmacht held out for weeks under intense areal bombardment and Black Sea Fleet shore bombardment. Finally, the remaining German forces surrendered and the Soviet Army seized the port. Both sides had suffered considerable losses during the siege and attack. With the liberation of the city, the Soivet airforce can now focus their attention on the bombardment of Romanian oil fields in Ploiesti.;;;;;;;;;;X;
EVT_NAME_1100027;Fall of Sevastopol;;;;;;;;;;;
EVT_NAME_1100028;Liberation of Brest-Litovsk;;;;;;;;;;;
EVT_DESC_1100028;The area around the nineteenth-century Brest Fortress was the site of the 1939 Battle of Brzesc Litewski, when German forces captured it from Poland during the Polish September Campaign. However, according to the terms of the 1939 German-Soviet Nonaggression Pact the territory around Brest as well as 52 percent of the then Poland was assigned to the Soviet Union. Thus, in the summer of 1941, the Germans had to capture the fortress yet again - this time from the Soviets. The fortress and the city controlled the crossings over the Bug River, as well as the Warsaw-Moscow railway and highway and was a critical object during Barbarossa. Although Soviet garrissions fought braviley against the German forces, Brest and Brest Fortress eventuelly fell into the Germans' hands within the first weeks of Barbaorssa. \n \nAfter Brest and Brest Fortress were shelled by the Red Army, infantry stormed the town of Brest and in the fortress itself. Although, the defenders inflicted heavy material and personnel casualties, Sovied soldiers were able to liberate the city today and achieved control over the road to Berlin!;;;;;;;;;;X;
EVT_NAME_1100029;Fall of Brest-Litovsk;;;;;;;;;;;
EVT_NAME_1100030;Lucy Spy Ring;;;;;;;;;;;
EVT_DESC_1100030;Roessler, a German expatriate from Bavaria who fled to Geneva when Hitler came to power, was working as a publisher at the outbreak of World War II in Switzerland, producing anti-Fascist literature. Roessler was approached by two German officers, Fritz Thiele and Rudolph von Gersdorff, who were part of a conspiracy to overthrow Hitler, and had been known to Roessler in the 1930s through the Herrenklub. \n \nThiele and Gersdorf wished him to act as a conduit for high level military information, to be available to him to make use of in the fight against Fascism. This they accomplished by the simple expedient of equipping Roessler with a radio and an Enigma machine, and designating him as a German military station. In this way they could openly transmit their information to him through normal channels. Roessler's first major contribution to Soviet intelligence came in May 1941 when he was able to deliver details of Operation Barbarossa, Germany's impending invasion of the Soviet Union. Following the invasion, in June 1941, Lucy was regarded as a VYRDO source, i.e. of the highest importance, and to be transmitted immediately. Over the next two years 'Lucy' was able to supply the Soviets with high grade military intelligence. During the autumn of 1942, 'Lucy' provided the Soviets with detailed information about Case Blue, the German operations against Stalingrad and the Caucasus. In the summer of 1943, the culmination of 'Lucy's' success came in transmitting the details of Germany's plans for Operation Zitadelle, a planned summer offensive against the Kursk salient, which became a strategic defeat for the German army. \n \nThe Lucy spy ring came to an end in the summer of 1944 when the German members, who were also involved in other anti-Nazi activities, were arrested in the aftermath of the failed July plot.;;;;;;;;;;X;
EVT_NAME_1100031;Reorganization of Soviet Airforce;;;;;;;;;;;
EVT_DESC_1100031;When Nazi Germany attacked the Soviet Union in June 1941, it quickly became apparent that the Soviet Air Force was not prepared for war. Poor planning and lack of organization left planes sitting on the tarmac at airbases, allowing the Luftwaffe to destroy 4,000 Soviet planes within the first week. The disorganized Soviet defenses and technologically deficient aircraft were no match for the Luftwaffe.  \n \nIn 1942e major factors contributed to the resurrection of the Soviet Air Force. One aspect was the mostly successful evacuation of the aircraft industry and the lack of German attacks on this industry. Furthermore, the successful creation of a talented command staff and successful reorganization, which was supported by Stalin. The restructuring efforts included the transformation into air divisions, whereas each division consisted of one type of aircraft, which improved the logistics and command efficiency. Additionally, the use of on-board radios grew, which allowed better coordination with ground stations for warning and command-and-control. There were also tactical changes like the creation of special ace units and the use of free hunts with experienced pilots. The Soviet Air doctrine focused strongly on fighters in order to achieve air superiority, thus a considerable effort was spent to develop the fighter arm into an elite force.;;;;;;;;;;X;
EVT_NAME_1100032;Ivan Nikitovich Kozhedub;;;;;;;;;;;
EVT_DESC_1100032;Ivan Nikitovich Kozhedub, born on June 8, was born in the village of Obrazhiyevka, a settlement in the Sumy region during the Russian Civil War. He graduated from the Shostka chemical technical school in early 1940 and joined the Soviet army in 1940. He graduated from the Chuguev Military Air School in 1941 at the start of the German invasion of the Soviet Union, but he was retained as an instructor. Kozhedub remained at the school for two years where he trained many young Soviet pilots. Feeling his talents would be better used in combat, he requested a transfer to an operational unit and in March 1943 was posted, as a Starshii Serzhant, to 240th IAP, one of the first units to receive the new Lavochkin La-5.  \n \nAfter his first military flight on 26 March 1943, he operated on the Voronezh Front and, in July over the Kursk battlefields. His first kill was a Junkers Ju 87 Stuka shot down during the Battle of Kursk on 6 July 1943. He claimed his 61st and 62nd victories - his final claims - over Berlin on 16 April 1945, making him the top scoring fighter pilot on the Allied side during World War II. He is one of the few pilots to have shot down a Messerschmitt Me 262 jet and was made a Hero of the Soviet Union on three occasions.;;;;;;;;;;X;
EVT_NAME_1100033;Skip Bombing;;;;;;;;;;;
EVT_DESC_1100033;The first use of low-altitude bombing in WWII properly belongs to the British. On September 4, 1939, 15 British Bristol Blenheim bombers assaulted a group of German vessels near Wilhelmshaven, Germany. From an altitude of 100 feet, the aircraft crews dropped their bombs straight onto the decks of the ships - not skipped them up to or into the hulls. These first efforts failed to sink the ships. However, demonstrate the precision of a low-altitude attack. The British continued to use low-altitude techniques and eventually began to incorporate skip bombing into their tactics. \n \nAmerican skip bombing began on August 26, 1941, when General Henry 'Hap' Arnold, Chief of the Army Air Forces, heard details of a British skip bombing attack at an Allied conference in England. Upon his return from England, General Arnold charged developmental teams at Eglin Army Airfield, Florida with the task of creating an American version of skip bombing. After Pearl Harbor (December 1941), it was used prominently against Imperial Japanese Navy warships and transports by Major William Benn of the 63rd Squadron, 43rd Bomb Group, Fifth Air Force, United States Army Air Forces in the Southwest Pacific area theater during World War II.;;;;;;;;;;X;
